RIG ,,1,2,3,4,5,6,7,,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Centrifuge, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV mounts,Make ,,,,,,Barry Controls,,,,,,,,,,,,,,,,,,,,,,,,
,Type,,,,,,SMDO -10,,,,,,,,,,,,,,,,,,,,,,,,
,Set Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shure,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
No.,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,
,Make,,,,,,Sharples,,,,,Alfa-Lavall,,,,,,,Alfa Lavall ,,,,,,,,,,,,
,Model,,,,,,PM35000,,,,,NX-450,,,,,,,PM36000-DSNX,,,,,,,,,,,,
,Serial No.,,,,,,92-115489,,,,,,,,,,,,501-7566-1993,,,,,,,,,,,,
,Max RPM,,,,,,3650,,,,,,,,,,,,3250,,,,,,,,,,,,
,Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diameter,,,,,,,,,,,,,,,,,,425/263,,,,,,,,,,,,
,Process Throughput,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
,Feed size,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,
,Feed connection Pos'n,,,,,,RHS,,,,,,,,,,,,,,,,,,,,,,,,
,Centrate size,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,
,Centrate discharge Pos'n,,,,,,RHS,,,,,,,,,,,,,,,,,,,,,,,,
,Wash water size,,,,,,2 1/2,,,,,,,,,,,,,,,,,,,,,,,,
,Pulley size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shaft Size,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drive Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Make,,,,,,Brook Crompton,,,,,,,,,,,,,,,,,,,,,,,,
,Model, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No. Pole Pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frame  size,,,,,,200L,,,,,,,,,,,,,,,,,,,,,,,,
,FLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pulley size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shaft size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belt size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gearbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Make,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Design Torque,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gear Box Ratio, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reduction Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gear Box Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drive coupling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.C.Brake,Make,,,,,,TR TRASC,,,,,,,,,,,,,,,,,,,,,,,,
,Model ,,,,,,132CD/6,,,,,,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,178399-2,,,,,,,,,,,,,,,,,,,,,,,,
 ,Shaft Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Input Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Torque Nm,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,
 ,V  ,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,
,Current DC,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABC ,,,,,,11948,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,Make,,,,,,Sharples,,,,,,,,,,,,,,,,,,,,,,,,
,Model,,,,,,PM35000,,,,,,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,91-115343,,,,,,,,,,,,,,,,,,,,,,,,
,Max RPM,,,,,,3150,,,,,,,,,,,,,,,,,,,,,,,,
,Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Process Throughput,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
,Feed size,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,
,Feed connection ,,,,,,RHS,,,,,,,,,,,,,,,,,,,,,,,,
,Centrate size,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,
,Centrate discharge,,,,,,RHS,,,,,,,,,,,,,,,,,,,,,,,,
,Wash water size,,,,,,2 1/2,,,,,,,,,,,,,,,,,,,,,,,,
,Pulley size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shaft Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drive Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Make,,,,,,Weg,,,,,,,,,,,,,,,,,,,,,,,,
,Model, ,,,,,W22 Premium,,,,,,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,12NOV2018 1046337498,,,,,,,,,,,,,,,,,,,,,,,,
,No. Pole Pairs,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
,Frame  size, ,,,,,200L,,,,,,,,,,,,,,,,,,,,,,,,
,FLA,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,
,Pulley size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shaft size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belt size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gearbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Make,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Design Torque,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gear Box Ratio, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reduction Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gear Box Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drive coupling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Make,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No. Pole Pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frame  size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inverter drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.C.Brake,Make,,,,,,ALFA,,,,,,,,,,,,,,,,,,,,,,,,
,Model ,,,,,,132CD/6,,,,,,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,L1824696,,,,,,,,,,,,,,,,,,,,,,,,
 ,Shaft Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Input Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Torque Nm,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,
,V  ,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,
,Current DC,,,,,,1.55,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,ABC,,,,,,11792,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed P/P ,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,Capacity ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,
,Rig mounted /Loose,,,,,,Rig,,,,,,,,,,,,,,,,,,,,,,,,
,STL Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Pump head,Serial No.,,,,,,4907383 793,,,,,RLGB671 2001,,,,,,,,,,,,,,,,,,,
,Make,,,,,,Mono,,,,,Roto-Pumps,,,,,,,,,,,,,,,,,,,
,Model,,,,,,C17A,,,,,G018XXX,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inlet Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Make,,,,,,NORD,,,,,Nord,,,,,,,,,,,,,,,,,,,
,Model,,,,,,SK132MP/4 TF SH,,,,,SK132VP/4 TF,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,204247695-200,,,,,36812781,,,,,,,,,,,,,,,,,,,
,No. Pole Pairs,,,,,,4,,,,,4,,,,,,,,,,,,,,,,,,,
,Speed,,,,,,1460,,,,,1460,,,,,,,,,,,,,,,,,,,
,Frame  size,,,,,,132,,,,,132,,,,,,,,,,,,,,,,,,,
,Kw,,,,,,7.5,,,,,7.5,,,,,,,,,,,,,,,,,,,
,FLA,,,,,,15.7,,,,,15.7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inverter drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed P/P ,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,Capacity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
